concept_id_1	concept_id_2	relationship_id
2033387433	4188027	Maps to
2078243916	439224	Maps to
2039066670	4144450	Maps to
2797776628	43530807	Maps to
2072282478	32902	Maps to
2987938829	32907	Maps to
2956604807	32906	Maps to
2686409417	38004515	Maps to
2524045274	8870	Maps to
2180608579	8756	Maps to
2651751801	38004515	Maps to
2099672379	8940	Maps to
2190409546	8940	Maps to
2039452137	8676	Maps to
2602428510	8971	Maps to
2602817741	38004254	Maps to
2490663356	9201	Maps to
2575504472	9202	Maps to
2467559011	262	Maps to
2276730284	9203	Maps to
2112044558	722455	Maps to
2262555370	581476	Maps to
2200756002	8536	Maps to
2737418651	8536	Maps to
2819010387	33007	Maps to
2919523460	8546	Maps to
2797825352	38004277	Maps to
2274607056	32216	Maps to
2833434036	32218	Maps to
2905734828	8971	Maps to
2971310033	32266	Maps to
2670410081	8863	Maps to
2409062701	8507	Maps to
2925661279	8532	Maps to
2353175280	44814653	Maps to
2501867320	8551	Maps to
2605944880	4156706	Maps to
2450783829	4302612	Maps to
2769455523	4171047	Maps to
2529742204	4132161	Maps to
2888008226	4142048	Maps to
2344051687	4262099	Maps to
2277544321	32865	Maps to
2201769126	32848	Maps to
2517259619	32848	Maps to
2428807643	32818	Maps to
2191227612	40225028	Maps to
2977874968	40225028	Maps to
2797407239	40213143	Maps to
2841924086	4340252	Maps to
2558327156	4240582	Maps to
2570733571	4172024	Maps to
2915829880	36684107	Maps to
